epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.2943,0.53336,1,1,0.22365,0.0003334,0.0003334,0.0003334
2,48.8967,0.20607,1,1,0.0087,0.000669937,0.000669937,0.000669937
3,72.2947,0.08574,1,1,0.00091,0.000992612,0.000992612,0.000992612
4,95.7101,0.04276,1,1,0.00071,0.00130142,0.00130142,0.00130142
5,119.131,0.04821,1,1,0.00076,0.00153497,0.00153497,0.00153497
6,142.229,0.01538,1,1,0.00175,0.00150197,0.00150197,0.00150197
7,165.521,0.04037,0.9,1,0.08569,0.00146896,0.00146896,0.00146896
8,188.652,0.0315,1,1,0.02717,0.00143595,0.00143595,0.00143595
9,211.676,0.02097,1,1,0.01401,0.00140295,0.00140295,0.00140295
10,234.775,0.01257,1,1,0.01103,0.00136994,0.00136994,0.00136994
11,257.955,0.01629,1,1,0.02562,0.00133693,0.00133693,0.00133693
12,280.897,0.01292,1,1,0.0065,0.00130393,0.00130393,0.00130393
13,303.988,0.02787,1,1,0.06296,0.00127092,0.00127092,0.00127092
14,327.222,0.01032,1,1,0.04253,0.00123791,0.00123791,0.00123791
15,350.484,0.02053,1,1,0.05206,0.00120491,0.00120491,0.00120491
16,373.686,0.02871,1,1,0.00011,0.0011719,0.0011719,0.0011719
17,396.873,0.02464,1,1,8e-05,0.00113889,0.00113889,0.00113889
18,419.915,0.02108,1,1,0.01333,0.00110589,0.00110589,0.00110589
19,442.948,0.01854,1,1,0.00263,0.00107288,0.00107288,0.00107288
20,465.842,0.11824,1,1,0.00016,0.00103987,0.00103987,0.00103987
21,489.28,0.01453,1,1,3e-05,0.00100687,0.00100687,0.00100687
22,512.592,0.04393,1,1,4e-05,0.000973861,0.000973861,0.000973861
23,535.781,0.00227,1,1,0.00046,0.000940855,0.000940855,0.000940855
24,558.964,0.01478,1,1,0.00037,0.000907848,0.000907848,0.000907848
25,582.074,0.00956,1,1,0.00051,0.000874842,0.000874842,0.000874842
26,605.185,0.01832,1,1,0.00016,0.000841835,0.000841835,0.000841835
27,628.509,0.01934,1,1,0.00013,0.000808828,0.000808828,0.000808828
28,651.945,0.00862,1,1,0.00018,0.000775822,0.000775822,0.000775822
29,675.236,0.01923,1,1,0.00048,0.000742815,0.000742815,0.000742815
30,698.23,0.12855,1,1,0.0009,0.000709809,0.000709809,0.000709809
31,721.581,0.00354,1,1,0.00236,0.000676802,0.000676802,0.000676802
32,744.673,0.00651,1,1,0.0011,0.000643795,0.000643795,0.000643795
33,767.689,0.01477,1,1,0.00354,0.000610789,0.000610789,0.000610789
34,790.831,0.01116,1,1,0.00286,0.000577782,0.000577782,0.000577782
35,813.951,0.03534,1,1,0.00295,0.000544776,0.000544776,0.000544776
36,836.853,0.00279,1,1,0.00434,0.000511769,0.000511769,0.000511769
37,859.782,0.0164,1,1,0.00867,0.000478762,0.000478762,0.000478762
38,882.573,0.01286,1,1,0.00761,0.000445756,0.000445756,0.000445756
39,905.829,0.01291,1,1,0.0053,0.000412749,0.000412749,0.000412749
40,928.998,0.00299,1,1,0.00648,0.000379743,0.000379743,0.000379743
41,952.082,0.00462,1,1,0.00579,0.000346736,0.000346736,0.000346736
42,975.15,0.0091,1,1,0.00765,0.000313729,0.000313729,0.000313729
43,998.145,0.00326,1,1,0.00413,0.000280723,0.000280723,0.000280723
44,1021.23,0.0131,1,1,0.00107,0.000247716,0.000247716,0.000247716
45,1044.17,0.02076,1,1,0.00075,0.00021471,0.00021471,0.00021471
46,1066.97,0.00178,1,1,0.00099,0.000181703,0.000181703,0.000181703
47,1089.98,0.00839,1,1,0.00051,0.000148696,0.000148696,0.000148696
48,1113.04,0.01907,1,1,0.00027,0.00011569,0.00011569,0.00011569
49,1136.12,0.00596,1,1,0.00088,8.26832e-05,8.26832e-05,8.26832e-05
50,1158.94,0.00227,1,1,0.00117,4.96766e-05,4.96766e-05,4.96766e-05
